Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Sponsor,Outcome,Vote,Marc C. McGovern,Jan Devereux,Dennis J. Carlone,Alanna Mallon,Sumbul Siddiqui,E. Denise Simmons,Timothy J. Toomey,Quinton Zondervan,Craig A. Kelley,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
RES 2019 #311,5,2019-09-23 Regular,2019-09-23,Death Resolution,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2469&MediaPosition=&ID=10424&CssClass=,Resolution on the death of Mary Ford.,AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #312,6,2019-09-23 Regular,2019-09-23,Congratulations,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2469&MediaPosition=&ID=10425&CssClass=,"Best wishes to Paddy's on their 9th Annual 5K Cambridge Classic and congratulations on their 85th Anniversary Celebration on September 29, 2019.",amend to include simmons as a sponsor. AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #313,7,2019-09-23 Regular,2019-09-23,Congratulations,Timothy J. Toomey,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2469&MediaPosition=&ID=10429&CssClass=,"Congratulations to City Councillor E. Denise Simmons on being honored with the ""HistoryMaker Award"" at the 2019 Annual History Project Awards.",AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #314,8,2019-09-23 Regular,2019-09-23,Congratulations,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2469&MediaPosition=&ID=10433&CssClass=,Happy 40th Anniversary wishes to Louie and Cheryl DePasquale.,AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #315,9,2019-09-23 Regular,2019-09-23,Death Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2469&MediaPosition=&ID=10434&CssClass=,Resolution on the death of Pairle Jones.,AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #316,10,2019-09-23 Regular,2019-09-23,Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2469&MediaPosition=&ID=10435&CssClass=,Speedy recovery wishes to Tiffany Mitchell Hope.,AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #317,11,2019-09-23 Regular,2019-09-23,Congratulations,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2469&MediaPosition=&ID=10436&CssClass=,Happy 34th Anniversary to Martin and Marie Vieira.,AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #318,12,2019-09-23 Regular,2019-09-23,Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2469&MediaPosition=&ID=10437&CssClass=,Speedy recovery wishes to Dena Petroulias.,AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #319,1,2019-10-07 Regular,2019-10-07,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10439&CssClass=,Resolution on the Death of Eileen Murphy.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #320,2,2019-10-07 Regular,2019-10-07,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10441&CssClass=,Resolution on the death of Lee Williams.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #321,3,2019-10-07 Regular,2019-10-07,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10442&CssClass=,Resolution on the death of Anthony DiGiovanni Jr.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #322,4,2019-10-07 Regular,2019-10-07,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10443&CssClass=,Resolution on the death of Laura Pini.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #323,5,2019-10-07 Regular,2019-10-07,Death Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10444&CssClass=,Resolution on the death of Edith “Sue” Thames.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #324,6,2019-10-07 Regular,2019-10-07,Congratulations,Jan Devereux,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10446&CssClass=,Congratulations to Upward Spiral Studio on their 10th Anniversary.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #325,7,2019-10-07 Regular,2019-10-07,Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10462&CssClass=,Happy 175th Anniversary to Old Cambridge Baptist Church.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #326,8,2019-10-07 Regular,2019-10-07,Happy Birthday Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10465&CssClass=,Happy 90th Birthday wishes to Barbara Brathwaite.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #327,9,2019-10-07 Regular,2019-10-07,Death Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10466&CssClass=,"Resolution on the death of Lloyd Haynes, Jr.",BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #328,10,2019-10-07 Regular,2019-10-07,Death Resolution,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10467&CssClass=,Resolution on the death of Detective Stephen Edwards.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #329,11,2019-10-07 Regular,2019-10-07,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10440&CssClass=,Resolution on the death of Maria Couto.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #330,12,2019-10-07 Regular,2019-10-07,Happy Birthday Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10484&CssClass=,Belated Happy  Birthday wishes to Polly Allen.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #331,13,2019-10-07 Regular,2019-10-07,Happy Birthday Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10485&CssClass=,Happy Birthday wishes to Georgina Dottin.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #332,14,2019-10-07 Regular,2019-10-07,Happy Birthday Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10486&CssClass=,Happy Birthday wishes to Henry Wortis.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #333,15,2019-10-07 Regular,2019-10-07,Happy Birthday Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10487&CssClass=,Happy Birthday wishes to Rozann Kraus.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #334,16,2019-10-07 Regular,2019-10-07,Congratulations,Sumbul Siddiqui,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10488&CssClass=,Resolution Recognizing Jennifer Fries for her Leadership of Cambridge School Volunteers,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #335,17,2019-10-07 Regular,2019-10-07,Congratulations,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10507&CssClass=,Resolution on the death of Francis Fulkerson.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #336,18,2019-10-07 Regular,2019-10-07,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10509&CssClass=,Resolution on the death of Michael Francis Hanlon.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #337,19,2019-10-07 Regular,2019-10-07,Happy Birthday Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10512&CssClass=,Wishing Joe Rose a Happy Birthday,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #338,20,2019-10-07 Regular,2019-10-07,Death Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10514&CssClass=,Resolution on the death of Stephen Edwards Sr.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #339,21,2019-10-07 Regular,2019-10-07,Congratulations,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10515&CssClass=,Congratulations to Richard and Sarah Graham on the opening of Richards in Inman Square.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #340,22,2019-10-07 Regular,2019-10-07,Happy Birthday Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10516&CssClass=,Wishing Joseph A. Aiello a very Happy 40th Birthday,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #341,23,2019-10-07 Regular,2019-10-07,Congratulations,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10532&CssClass=,Congratulations to Emmanuel “Manny” Lusardi on winning the Cambridge Housing Authority Art Contest.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #342,24,2019-10-07 Regular,2019-10-07,Congratulations,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10555&CssClass=,Congratulations to Union Baptist Church on its' 141st Homecoming Celebration.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #343,25,2019-10-07 Regular,2019-10-07,Congratulations,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2470&MediaPosition=&ID=10565&CssClass=,"Congratulations to the East Cambridge Business Association on their 10th successful ""Smoke This Rib Fest""",BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #344,1,2019-10-21 Regular,2019-10-21,Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2520&MediaPosition=&ID=10603&CssClass=,Get Well wishes to Sal DiDomenico Sr.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #345,2,2019-10-21 Regular,2019-10-21,Resolution,E. Denise Simmons,Adopted as Amended,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2520&MediaPosition=&ID=10605&CssClass=,Get Well wishes to Dorothy Harr.,BY AFFIRMATIVE VOTE OF NINE MEMBERS. . 
RES 2019 #346,3,2019-10-21 Regular,2019-10-21,Congratulations,E. Denise Simmons,Adopted as Amended,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2520&MediaPosition=&ID=10606&CssClass=,Congratulations to the Baby U Program on the occasion of its 10th Anniversary.,BY AFFIRMATIVE VOTE OF NINE MEMBERS. . 
RES 2019 #347,4,2019-10-21 Regular,2019-10-21,Congratulations,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2520&MediaPosition=&ID=10620&CssClass=,That the City Council go on record congratulating Officer Michael “Whitey” Daniliuk on the honor of receiving the 2019 Community Peacemaker Award.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #348,5,2019-10-21 Regular,2019-10-21,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2520&MediaPosition=&ID=10621&CssClass=,Resolution on the death of David Lange.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #349,6,2019-10-21 Regular,2019-10-21,Congratulations,Sumbul Siddiqui,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2520&MediaPosition=&ID=10622&CssClass=,"Congratulations to Chloé Cunha, on being chosen as The Comedy Studio’s November 2019 Comic-in-Residence.",BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #350,7,2019-10-21 Regular,2019-10-21,Death Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2520&MediaPosition=&ID=10662&CssClass=,Resolution on the death of Theresa Vasseur.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #351,8,2019-10-21 Regular,2019-10-21,Congratulations,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2520&MediaPosition=&ID=10663&CssClass=,"Congratulations to Yvonne Gittens and Toni N. Phillips on being honored at the 1st Annual Janet ""Ms. K"" Kendrick Sisters of the Center Brunch at the Cambridge Community Center on October 26, 2019.",BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #352,9,2019-10-21 Regular,2019-10-21,Congratulations,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2520&MediaPosition=&ID=10664&CssClass=,Congratulations to Kelsey Perkins and Tim Depin on their recent wedding.,BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #353,10,2019-10-21 Regular,2019-10-21,Death Resolution,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2520&MediaPosition=&ID=10665&CssClass=,"Resolution on the death of Norman T. ""Ted"" Coffman.",BY AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #354,1,2019-10-28 Regular,2019-10-28,Death Resolution,Quinton Zondervan,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2521&MediaPosition=&ID=10677&CssClass=,Resolution on the death of Fred Lewis.,BY AFFIRMATIVE VOTE OF NINE MEMBERS. 
RES 2019 #355,2,2019-10-28 Regular,2019-10-28,Congratulations,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2521&MediaPosition=&ID=10678&CssClass=,"Congratulations to Brittney Morris on Her New Novel ""Slay.""",BY AFFIRMATIVE VOTE OF NINE MEMBERS. 
RES 2019 #356,3,2019-10-28 Regular,2019-10-28,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2521&MediaPosition=&ID=10693&CssClass=,Resolution on the death of Edna DiFraia.,BY AFFIRMATIVE VOTE OF NINE MEMBERS. 
RES 2019 #357,4,2019-10-28 Regular,2019-10-28,Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2521&MediaPosition=&ID=10707&CssClass=,Get Well Wishes to Arlene Reed-Delaney.,BY AFFIRMATIVE VOTE OF NINE MEMBERS. 
RES 2019 #358,5,2019-10-28 Regular,2019-10-28,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2521&MediaPosition=&ID=10695&CssClass=,Resolution on the death of Maria Barros.,BY AFFIRMATIVE VOTE OF NINE MEMBERS. 
RES 2019 #359,6,2019-10-28 Regular,2019-10-28,Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2521&MediaPosition=&ID=10720&CssClass=,Speedy Recovery wishes to Paula Dottin.,BY AFFIRMATIVE VOTE OF EIGHT MEMBERS
RES 2019 #360,7,2019-10-28 Regular,2019-10-28,Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2521&MediaPosition=&ID=10721&CssClass=,Welcome wishes to Reverend Efrain Alejandro Mateo of the Nuevo Bethel ll AME Church.,BY AFFIRMATIVE VOTE OF EIGHT MEMBERS
RES 2019 #361,8,2019-10-28 Regular,2019-10-28,Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2521&MediaPosition=&ID=10722&CssClass=,Speedy Recovery wishes to Gail Seidman.,BY AFFIRMATIVE VOTE OF EIGHT MEMBERS
RES 2019 #362,9,2019-10-28 Regular,2019-10-28,Happy Birthday Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2521&MediaPosition=&ID=10723&CssClass=,Happy Birthday wishes to Nathine Washington.,BY AFFIRMATIVE VOTE OF EIGHT MEMBERS
RES 2019 #363,10,2019-10-28 Regular,2019-10-28,Happy Birthday Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2521&MediaPosition=&ID=10724&CssClass=,Happy Birthday wishes to Ethlyn Davis-Fuller.,BY AFFIRMATIVE VOTE OF EIGHT MEMBERS
RES 2019 #364,11,2019-10-28 Regular,2019-10-28,Resolution,Jan Devereux,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2521&MediaPosition=&ID=10726&CssClass=,"Congratulations to Sharman Altshuler, David Lucey and entire Moonbox Cast of Rocky Horror Picture Show.",BY AFFIRMATIVE VOTE OF EIGHT MEMBERS
RES 2019 #365,12,2019-10-28 Regular,2019-10-28,Congratulations,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2521&MediaPosition=&ID=10727&CssClass=,Congratulations to Sal and Marie DiDomenico on Flowers by Sal’s 50th anniversary.,BY AFFIRMATIVE VOTE OF EIGHT MEMBERS
RES 2019 #366,1,2019-11-04 Regular,2019-11-04,Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2522&MediaPosition=&ID=10734&CssClass=,Wishing the Best for Charles and Pam Ogletree,BY AN AFFIRMATIVE VOTE OF EIGHT MEMBERS
RES 2019 #367,2,2019-11-04 Regular,2019-11-04,Congratulations,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2522&MediaPosition=&ID=10735&CssClass=,Congratulations to Maria and Greg Jobin-Leeds,BY AN AFFIRMATIVE VOTE OF EIGHT MEMBERS
RES 2019 #368,3,2019-11-04 Regular,2019-11-04,Congratulations,Jan Devereux,Adopted as Amended,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2522&MediaPosition=&ID=10744&CssClass=,Congratulations to Mothers Out Front,BY AN AFFIRMATIVE VOTE OF EIGHT MEMBERS
RES 2019 #369,4,2019-11-04 Regular,2019-11-04,Congratulations,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2522&MediaPosition=&ID=10748&CssClass=,Congratulations to Michael Monestime and the Central Square Commercial Property Owners,BY AN AFFIRMATIVE VOTE OF EIGHT MEMBERS
RES 2019 #370,5,2019-11-04 Regular,2019-11-04,Congratulations,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2522&MediaPosition=&ID=10752&CssClass=,Congratulations to Sekazi K. Mtingwa,BY AN AFFIRMATIVE VOTE OF EIGHT MEMBERS
RES 2019 #371,6,2019-11-04 Regular,2019-11-04,Congratulations,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2522&MediaPosition=&ID=10753&CssClass=,Congratulations to the Mitchell family on S&S;'s 100th Anniversary,BY AN AFFIRMATIVE VOTE OF EIGHT MEMBERS
RES 2019 #372,7,2019-11-04 Regular,2019-11-04,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2522&MediaPosition=&ID=10754&CssClass=,"Resolution on the death of William ""Billy"" Robert Sarchioni Sr.",BY AN AFFIRMATIVE VOTE OF EIGHT MEMBERS
RES 2019 #373,8,2019-11-04 Regular,2019-11-04,Congratulations,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2522&MediaPosition=&ID=10791&CssClass=,Congratulations to Valerie Beaudrault on Her Retirement,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #374,9,2019-11-04 Regular,2019-11-04,Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2522&MediaPosition=&ID=10792&CssClass=,Wishes For a Speedy Recovery to Sheila Brass,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #375,10,2019-11-04 Regular,2019-11-04,Death Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2522&MediaPosition=&ID=10793&CssClass=,Resolution on the death of Dora Apruzzese,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #376,11,2019-11-04 Regular,2019-11-04,Resolution,E. Denise Simmons,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2522&MediaPosition=&ID=10794&CssClass=,Resolution Wishing Swift Recovery to Bruce Grigsby,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #377,12,2019-11-04 Regular,2019-11-04,Death Resolution,Timothy J. Toomey,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2522&MediaPosition=&ID=10795&CssClass=,Resolution on the death of Elise Aimes.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #378,13,2019-11-04 Regular,2019-11-04,Congratulations,Jan Devereux,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2522&MediaPosition=&ID=10797&CssClass=,Congratulations to the Participants of the Cambridgeside Half Marathon,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
RES 2019 #379,14,2019-11-04 Regular,2019-11-04,Congratulations,Marc C. McGovern,Adopted,Affirmative Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=2522&MediaPosition=&ID=10801&CssClass=,The City Council was delighted to learn of the birth of Ambrose Elizabeth Durbin to proud parents Ann and Wil Durbin.,BY AN AFFIRMATIVE VOTE OF NINE MEMBERS
