"Unique Identifier","Agenda Number","Meeting","Meeting Date","Category","Awaiting Report","Policy Order","Charter Right","Outcome","Vote","Type of Vote","E. Denise Simmons","Marc C. McGovern","Burhan Azeem","Patricia Nolan","Sumbul Siddiqui","Paul F. Toner","Ayesha M. Wilson","Jivan Sobrinho-Wheeler","Catherine Zusy","Yeas","Nays","Present","Absent","Link","Summary"
"CMA 2025 #214","25","2025-08-04 Regular","45873","Communication","","","","Placed on File","","","yes","yes","yes","yes","yes","no","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","Paul F. Toner","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4745&MediaPosition=&ID=30827&CssClass=","A revised letter of commitment dated august 4, 2025 submitted on behalf of bmr-320 charles llc that will be incorporated by reference in the east cambridge community enhancement overlay district (ecce district) if the council adopts the zoning petition."
"CMA 2025 #224","1","2025-09-15 Regular","45915","Communication","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4757&MediaPosition=&ID=30923&CssClass=","Recommendations of the community preservation act committee (cpac) for fy2026."
"CMA 2025 #225","2","2025-09-15 Regular","45915","Awaiting Report Response","","POR 2025 #120","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4757&MediaPosition=&ID=30922&CssClass=","Awaiting report item number  #25-50, regarding a deadline for charter change."
"CMA 2025 #226","3","2025-09-15 Regular","45915","Communication","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4757&MediaPosition=&ID=30935&CssClass=","A recommendation from the cambridge election commission regarding the assignment of  twenty-six (26) police officers and any additional officers as required to the city’s polling locations for the 2025 municipal election, pursuant to g.l. c. 54, §72."
"CMA 2025 #227","4","2025-09-15 Regular","45915","Appropriation","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4757&MediaPosition=&ID=30938&CssClass=","Appropriation of an fy26 state 911 department emergency medical dispatch (emd) grant in the amount of $28,512 to the grant fund emergency communications other ordinary maintenance account, which will support quality assurance (call review) of the emergency medical protocol used by staff to provide pre- and post-dispatch instructions for medical emergencies."
"CMA 2025 #228","5","2025-09-15 Regular","45915","Awaiting Report Response","AR-25-45","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4757&MediaPosition=&ID=30944&CssClass=","Awaiting report item number 25-45, regarding the siting of needle drop boxes and naloxone boxes in high priority locations throughout the city."
"CMA 2025 #229","6","2025-09-15 Regular","45915","Appropriation","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4757&MediaPosition=&ID=30939&CssClass=","A transfer in the amount of $1,703,731.64 from the opioid settlement stabilization fund to the opioid settlement special revenue fund."
"CMA 2025 #230","7","2025-09-15 Regular","45915","Awaiting Report Response","AR-25-41","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4757&MediaPosition=&ID=30951&CssClass=","Awaiting report item numbers 25-38, 25-39 and 25-41, regarding issues related to parking in the area surrounding the eastern end of broadway."
"CMA 2025 #231","8","2025-09-15 Regular","45915","Awaiting Report Response","AR-25-27","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4757&MediaPosition=&ID=30936&CssClass=","Awaiting report item number 25-27, regarding the city manager investigate bike pod storage options to be placed in suitable areas in the city to provide residents and visitors safe storage options."
"CMA 2025 #232","9","2025-09-15 Regular","45915","Awaiting Report Response","AR-25-42","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4757&MediaPosition=&ID=30948&CssClass=","Awaiting report item number 25-42 regarding pedestrianization of lower bow street."
"CMA 2025 #233","10","2025-09-15 Regular","45915","Awaiting Report Response","AR-25-32","","Burhan Azeem","Placed on File","","Roll Call","absent","yes","yes","yes","yes","yes","yes","yes","yes","Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","E. Denise Simmons","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4757&MediaPosition=&ID=30953&CssClass=","Awaiting report item number 25-32, regarding a request that the city engage in discussions with leadership from the massachusetts bay transportation authority (mbta) and the harvard square business association (hsba) regarding a proposal to explore the feasibility of repurposing the long-abandoned mbta tunnel in harvard square into a commercial or cultural space. charter right exercised by councillor azeem in council september 15, 2025."
"CMA 2025 #234","11","2025-09-15 Regular","45915","Communication","","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","no","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler","Catherine Zusy","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4757&MediaPosition=&ID=30960&CssClass=","The transmission of the cambridge street zoning petition."
"CMA 2025 #235","12","2025-09-15 Regular","45915","Communication","","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","no","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler","Catherine Zusy","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4757&MediaPosition=&ID=30961&CssClass=","The transmission of the massachusetts avenue zoning petition."
"CMA 2025 #236","13","2025-09-15 Regular","45915","Awaiting Report Response","AR-25-43","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4757&MediaPosition=&ID=30941&CssClass=","Awaiting report item number 25-43, regarding a request for an interim report on demolition and building permit applications received during the six-month period following the city council’s adoption of the multifamily housing zoning amendment on february 10th, 2025."
"CMA 2025 #237","1","2025-09-29 Regular","45929","Communication","","","","Placed on File","","Roll Call","absent","yes","yes","yes","yes","yes","yes","yes","yes","Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","E. Denise Simmons","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4758&MediaPosition=&ID=31009&CssClass=","A federal update including an update on relevant court cases."
"CMA 2025 #238","2","2025-09-29 Regular","45929","Communication","","","","Placed on File","","Roll Call","absent","yes","yes","yes","yes","yes","yes","yes","yes","Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","E. Denise Simmons","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4758&MediaPosition=&ID=31014&CssClass=","A preservation restriction at 44 j.f. kennedy street."
"CMA 2025 #239","3","2025-09-29 Regular","45929","Appropriation","","","","Adopted","","Roll Call","absent","yes","yes","yes","yes","yes","yes","yes","yes","Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","E. Denise Simmons","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4758&MediaPosition=&ID=31019&CssClass=","Appropriation of $94,531, received from the executive office of public safety and security, state 911 department, to the grant fund emergency communications department other ordinary maintenance account."
"CMA 2025 #240","4","2025-09-29 Regular","45929","Appropriation","","","","Adopted","","Roll Call","absent","yes","yes","yes","yes","yes","yes","yes","yes","Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","E. Denise Simmons","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4758&MediaPosition=&ID=31017&CssClass=","Appropriation of $7,000.00 to the grant fund department of human service programs travel and training account. the children's trust concrete support funding will be used to provide gift cards to families to help access nutritional and other concrete supports (diapers, wipes, and other child/family supplies)."
"CMA 2025 #241","5","2025-09-29 Regular","45929","Awaiting Report Response","AR-25-5","","","Placed on File","","Roll Call","absent","yes","yes","yes","yes","yes","yes","yes","yes","Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","E. Denise Simmons","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4758&MediaPosition=&ID=31023&CssClass=","Awaiting report item number 25-05, regarding a report on the use of m.g.l ch. 40u to determine which local statutes can be enforced by the local-option procedure in order to better collect fines in violation of cambridge ordinances."
"CMA 2025 #242","1","2025-10-06 Regular","45936","Awaiting Report Response","AR-25-55","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4759&MediaPosition=&ID=31085&CssClass=","Awaiting report item number #25-55 relative to guidance during ice encounters."
"CMA 2025 #243","2","2025-10-06 Regular","45936","Appointment","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4759&MediaPosition=&ID=31064&CssClass=","Appointment of marnie gale and c. dale gadsden and the reappointment of louis bacci iii all for five year terms to the cambridge housing authority board."
"CMA 2025 #244","3","2025-10-06 Regular","45936","Appropriation","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4759&MediaPosition=&ID=31080&CssClass=","Appropriation of $5,600, to the grant fund police department other ordinary maintenance account. the funds will support the secret santa for seniors gift drive, which provided gift bags to approximately 900 seniors during the holidays."
"CMA 2025 #245","4","2025-10-06 Regular","45936","Appropriation","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4759&MediaPosition=&ID=31065&CssClass=","Appropriation of $71,600, to the grant fund water department other ordinary maintenance account ($70,960) and to the grant fund water department travel and training account ($640). funds will be used to convene a technical advisory group (tag), which will consist of representatives from watershed communities (lexington, lincoln, weston, and waltham), the massachusetts department of transportation (massdot), larger commercial property owners, cambridge water department staff, and other interested parties."
"CMA 2025 #246","5","2025-10-06 Regular","45936","Appropriation","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4759&MediaPosition=&ID=31066&CssClass=","Appropriation of $4,800 to the public investment fund housing department salaries and wages account."
"CMA 2025 #247","6","2025-10-06 Regular","45936","Appropriation","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4759&MediaPosition=&ID=31081&CssClass=","Appropriation of $993,123 to the grant fund office of sustainability extraordinary expenditures account, to support the creation of a resilience hub at the cambridge community center. the funding provided through this grant will allow for the procurement and installation of the necessary infrastructure and equipment."
"CMA 2025 #248","7","2025-10-06 Regular","45936","Awaiting Report Response","AR-25-20","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4759&MediaPosition=&ID=31084&CssClass=","Awaiting report item #25-20 regarding incentive zoning nexus study."
"CMA 2025 #249","8","2025-10-06 Regular","45936","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4759&MediaPosition=&ID=31082&CssClass=","The zero emissions transportation plan report."
"CMA 2025 #250","1","2025-10-06 Special","45936","Communication","","","Paul F. Toner","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4790&MediaPosition=&ID=31083&CssClass=","votes necessary to seek approval from the Massachusetts Department of Revenue of the tax rate for FY2026"
"CMA 2025 #251","1","2025-10-20 Regular","45950","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4760&MediaPosition=&ID=31119&CssClass=","A federal update including an update on relevant court cases."
"CMA 2025 #252","2","2025-10-20 Regular","45950","Appropriation","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4760&MediaPosition=&ID=31130&CssClass=","Appropriation of $24,020 received from the office of the attorney general, local consumer aid fund, to the grant fund license commission (consumer’s council) salaries and wages account. the funds will be used to allow the consumers' council to continue the mediation of consumer complaints from individuals in cambridge as well as in somerville, arlington, belmont, watertown and waltham which do not have their own complaint mediation program."
"CMA 2025 #253","3","2025-10-20 Regular","45950","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4760&MediaPosition=&ID=31121&CssClass=","Reappointment of charles j. marquardt as an election commissioner for a four year term, effective through march 31, 2029."
"CMA 2025 #254","4","2025-10-20 Regular","45950","Appropriation","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4760&MediaPosition=&ID=31118&CssClass=","Appropriation of $274,577.93 received from the executive office of public safety and security, state 911 department, to the grant fund emergency communications department salary and wages account ($172,691.93), the grant fund emergency communications department other ordinary maintenance account ($4,753.00) and the grant fund emergency communications department travel and training account ($97,133.00). this formula-based reimbursement grant will support training of emergency communications center personnel, classroom fees, and training materials."
"CMA 2025 #255","5","2025-10-20 Regular","45950","Appropriation","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4760&MediaPosition=&ID=31128&CssClass=","Appropriation of $48,000.00 to the grant fund human service programs salary and wages account ($40,398.00), to the grant fund human service programs other ordinary maintenance account ($5,064.00), and to the grant fund human service programs travel and training account ($2,538.00). the grant is provided through funds from the herb and maxine jacobs foundation, and will provide support for bridge program advising, coaching and mentoring; advising and outreach for the esol/certified nursing assistant program; and career advising for other clc students. the funds partially support staff salaries and program supplies."
"CMA 2025 #256","6","2025-10-20 Regular","45950","Appropriation","","","","Adopted","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4760&MediaPosition=&ID=31131&CssClass=","Appropriation of $275,237.00 to the grant fund human services other ordinary maintenance account. the funds are authorized by mhsa to provide emergency individual shelter services at the cambridge salvation army. funds will be used to support the operation of the men’s shelter, which provides 35 shelter beds, and to support the salvation army’s daytime drop-in center."
"CMA 2025 #257","7","2025-10-20 Regular","45950","Awaiting Report Response","AR-25-53","","","Referred to Committee","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4760&MediaPosition=&ID=31144&CssClass=","Awaiting report item number 25-53, regarding a request that the city manager consult with relevant departments about the implications of deploying license plate readers and provide recommendations as to whether adjustments in plans for deployment should be made in light of changes since approval in february."
"CMA 2025 #258","8","2025-10-20 Regular","45950","Appointment","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4760&MediaPosition=&ID=31139&CssClass=","Appointment and reappointment of members to the committee on public planting for terms of three years."
"CMA 2025 #259","9","2025-10-20 Regular","45950","Awaiting Report Response","","POR 2025 #84","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4760&MediaPosition=&ID=31133&CssClass=","Awaiting report item number 25-34 regarding curb cut disputes."
"CMA 2025 #260","1","2025-10-27 Regular","45957","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4761&MediaPosition=&ID=31169&CssClass=","Reappointment and appointments of members to the family policy council."
"CMA 2025 #261","2","2025-10-27 Regular","45957","Appropriation","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4761&MediaPosition=&ID=31171&CssClass=","Appropriation of the children’s trust grant for the center for families program in the amount of $56,250.00 to the grant fund department of human service programs salaries and wages account ($21,908); to the grant fund department of human service programs other ordinary maintenance account ($26,342) and to the grant fund department of human  service programs travel and training account ($8,000)."
"CMA 2025 #262","3","2025-10-27 Regular","45957","Appropriation","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4761&MediaPosition=&ID=31172&CssClass=","Appropriation of $4,300,000, from free cash to the general fund employee benefits department salary and wages account, which will replenish funds that were transferred out of the employee benefits department and subsequently used to fund the settlement payment relating to said s. abuzahra, trustee of equity realty trust, et al. v. city of cambridge (mdsx. super. ct. docket no. 2017- cv-2459/j)."
"CMA 2025 #263","4","2025-10-27 Regular","45957","Appropriation","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4761&MediaPosition=&ID=31174&CssClass=","Appropriation of $20,000,000, from free cash to the general fund employee benefits department salary and wages account, which will replenish funds that were transferred out of the employee benefits department and subsequently used to fund expenses related to the demolition of 221 mount auburn street."
"CMA 2025 #264","5","2025-10-27 Regular","45957","Appropriation","","","","Approved","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4761&MediaPosition=&ID=31175&CssClass=","Appropriation of $2,905,500 from free cash to the mitigation revenue stabilization fund.  during fy25, the city received mitigation revenues from various developers as a result of commitments related to zoning ordinance amendments and special permit conditions.  by law, all mitigation revenues must be deposited into the general fund and can only be appropriated after the free cash certification is complete."
"CMA 2025 #265","6","2025-10-27 Regular","45957","Communication","","","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4761&MediaPosition=&ID=31170&CssClass=","An update regarding the massachusetts department of revenue certification of the city’s free cash balance as of june 30, 2025, in the amount of $184,251,490."
"CMA 2025 #266","7","2025-10-27 Regular","45957","Awaiting Report Response","","POR 2025 #107","","Placed on File","","Unanimous","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4761&MediaPosition=&ID=31168&CssClass=","Policy order item number 2025 #107, regarding a request to support an exploratory process – potentially including stakeholder engagement, legal and technical assessments, and community outreach – to evaluate the creation of a business improvement district in porter square.."
"CMA 2025 #267","1","2025-11-03 Regular","45964","Communication","","","","Placed on File","","Roll Call","yes","absent","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","Marc C. McGovern","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4770&MediaPosition=&ID=31209&CssClass=","A federal update including an update on relevant court cases."
"CMA 2025 #268","2","2025-11-03 Regular","45964","Appropriation","","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4770&MediaPosition=&ID=31219&CssClass=","Appropriation of $250,000, from the federal grant stabilization fund to the grant fund department of human service programs other ordinary maintenance account, to help address potential short term food insecurity within the cambridge community."
"CMA 2025 #269","3","2025-11-03 Regular","45964","Awaiting Report Response","AR-25-52","","","Placed on File","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4770&MediaPosition=&ID=31211&CssClass=","Awaiting report item number 25-52, regarding the special commission on micromobility."
"CMA 2025 #270","4","2025-11-03 Regular","45964","Awaiting Report Response","AR-25-47","","","Placed on File","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4770&MediaPosition=&ID=31210&CssClass=","Awaiting report item number 25-47 regarding kendall square parking considerations."
"CMA 2025 #271","5","2025-11-03 Regular","45964","Awaiting Report Response","AR-25-62","","","Placed on File","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4770&MediaPosition=&ID=31207&CssClass=","Policy order item number 2025 #143 directing the city manager to work with relevant departments to consider a plan to better utilize the russell youth and community center."
"CMA 2025 #272","6","2025-11-03 Regular","45964","Appropriation","","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Catherine Zusy","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4770&MediaPosition=&ID=31245&CssClass=","Appropriation of $138,372.00 funded by the federal department of health and human services and administered by the massachusetts executive office of housing and livable communities (eohlc) to the grant fund human service programs salary and wages account ($33,176.00), and to the grant fund human service programs other ordinary maintenance account ($105,196.00). funds will be used to help with the heating bills during november 1st – april 30th."
"CMA 2025 #273","1","2025-11-17 Regular","45978","Communication","","","","Placed on File","","Roll Call","yes","yes","yes","yes","yes","absent","yes","absent","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Catherine Zusy","","","Paul F. Toner, Jivan Sobrinho-Wheeler","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4763&MediaPosition=&ID=31293&CssClass=","A federal update including an update on relevant court cases."
"CMA 2025 #274","2","2025-11-17 Regular","45978","Appropriation","","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","absent","yes","absent","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Catherine Zusy","","","Paul F. Toner, Jivan Sobrinho-Wheeler","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4763&MediaPosition=&ID=31294&CssClass=","Appropriation of a grant received from the massachusetts executive office of public safety and security (eopss) municipal road safety (mrs) program in the amount of $64,974.00. funds will be used to support high-visibility traffic education and enforcement throughout the city."
"CMA 2025 #275","3","2025-11-17 Regular","45978","Appropriation","","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","absent","yes","absent","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Catherine Zusy","","","Paul F. Toner, Jivan Sobrinho-Wheeler","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4763&MediaPosition=&ID=31295&CssClass=","Appropriation of the massachusetts housing and shelter alliance grant funded by the executive office of housing and livable communities, in the amount of $153,809 to the grant fund human service programs salary and wages account ($137,659), and to the grant fund human service programs other ordinary maintenance account ($16,150). funds will be used for costs related to the carey men’s permanent supported housing program operated by the multi-service center."
"CMA 2025 #276","4","2025-11-17 Regular","45978","Appropriation","","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","absent","yes","absent","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Catherine Zusy","","","Paul F. Toner, Jivan Sobrinho-Wheeler","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4763&MediaPosition=&ID=31296&CssClass=","Appropriation of appropriation of the friends of the community learning center (clc) grant in the amount of $40,000.00 to the grant fund human service programs salary and wages account ($33,381.00), to the grant fund human service programs other ordinary maintenance account ($5,619.00), and to the grant fund human service programs travel and training account ($1,000.00). funds, raised by the friends of the clc, will be used to support the advising and coordination of the bridge to college program, as well as support for esol teaching."
"CMA 2025 #277","5","2025-11-17 Regular","45978","Appropriation","","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","absent","yes","absent","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Catherine Zusy","","","Paul F. Toner, Jivan Sobrinho-Wheeler","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4763&MediaPosition=&ID=31297&CssClass=","Appropriation of the friends of the community learning center (clc) donations in the amount of $15,000.00 to the grant fund human service programs salary and wages account. funds, received by the friends of the clc through individual donations, will be used to support esol instruction."
"CMA 2025 #278","6","2025-11-17 Regular","45978","Appropriation","","","","Adopted","","Roll Call","yes","yes","yes","yes","yes","absent","yes","absent","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Catherine Zusy","","","Paul F. Toner, Jivan Sobrinho-Wheeler","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4763&MediaPosition=&ID=31292&CssClass=","Appropriation of $302,640.00, funded by the massachusetts executive office of aging and independence to the grant fund department of human service programs salary and wages account ($181,607.00), to the grant fund department of human service programs other ordinary maintenance account ($106,033.00), and to the grant fund department of human service programs travel and training account ($15,000.00)."
"CMA 2025 #282","1","2025-12-08 Regular","45999","Communication","","","","Placed on File","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4766&MediaPosition=&ID=31357&CssClass=","A federal update including an update on relevant court cases."
